VAR                     , Sets a Value into the TextScenario.Vars dictionary under a key Variable. Type must be either int, float, bool or string. Value must be able to be converted to the proper Type or it will crash.
RandomVar               , Sets a random value between Min and Max into the TextScenario.Vars dictionary under a key Variable. Type must be either int, float, bool or string. Min and Max must be able to be converted to the proper Type or it will crash. Other variables can be used for all parameters.
Calc                    , 1 - Load value of key Answer from TextScenario.Vars. If doesn\'t exist, get a default value.\n2 - Apply Formula to the value from dictionary and Value.\n3 - Store the result of the Formula back to the dictionary under the key Answer.\nThe Formula can be: 0 = assign, 1 = add, 2 = subtract, 3 = multiply, 4 = divide (seems to be buggy? need to set this manually in adv command list?) Other variables can be used for all parameters.
Clamp                   , Sets a Value into the TextScenario.Vars dictionary under a key Variable. Value is clamped between Min and Max. Other variables can be used for all parameters (use their keys instead of numbers then).
Min                     , Set the smaller of two floats A and B to variable of key Answer. Other variables can be used for all parameters (use their keys instead of numbers then).
Max                     , Set the larger of two floats A and B to variable of key Answer. Other variables can be used for all parameters (use their keys instead of numbers then).
Lerp                    , Set the result of Lerp of floats A and B at point T to variable of key Answer.\nOther variables can be used for all parameters (use their keys instead of numbers then).
LerpAngle               , Set the result of LerpAngle of floats A and B at point T to variable of key Answer.\nOther variables can be used for all parameters (use their keys instead of numbers then).
InverseLerp             , Set the result of InverseLerp of floats A and B at point T to variable of key Answer.\nOther variables can be used for all parameters (use their keys instead of numbers then).
LerpV3                  , Lerp except on Vector3s. Value is float used as position. Min and Max are names of V3s in scenario.commandController.V3Dic. Answer is key to which store the result in V3Dic.
LerpAngleV3             , Lerp except on Vector3s. Value is float used as position. Min and Max are names of V3s in scenario.commandController.V3Dic. Answer is key to which store the result in V3Dic.
Tag                     , A tag that can be jumped to by other commands like IF, Choice or Jump. This command is otherwise ignored.
Format                  , Store result of string.Format(\"Format\", Args) to variable of key Variable. Args is a comma separated list of arguments.
IF                      , Based on variables Left and Right, jump to Tag under either True or False. Center specifies the comparison type:  \"==\" (0)\n\"!=\" (1)\n\">=\" (2)\n\"<=\" (3)\n\">\" (4)\n\"<\" (5)\n\"check\" (6): check if a variable with key Left exists.
Switch                  , If variable Key is the same as Case, then jump to Tag. You can add multiple CaseTag arguments.
Text                    , Show Text in the ADV dialog box with Name as person speaking. Color assigned to Name will be used.
Voice                   , Play a voice clip on character number No. Personality and Pitch can be left empty to use the character\'s values. Must be set to Multi and be used before a Text command to work.\nVoices are stored in abdata\sound\data\pcm\c00 (00 = id of the personality). Inside that, different folders correspond to different game modes (adm is generic sounds, adv is spoken lines, h is h scene stuff, namelist is nicknames). You can preview the audio clips and see their names in SB3U.
Motion                  , Use CharaMotion instead
Expression              , Use CharaExpression instead
ExpressionIcon          , Use the CharaExpressionIcon instead
Open                    , Open a new ADV scene.
Close                   , Close this ADV scene. Needs to be called at the end or the game will softlock.
Jump                    , Jump to a Tag.
Choice                  , Show an ADV choice selection. Clicking on a choice will jump to the corresponding tag. You can add multiple Case arguments.
Wait                    , Wait for Time seconds.
TextClear               , Hide the ADV text box until the next Text. Good for use with Fades and Waits.
FontColor               , Set color of text in ADV box for Target name string (the string you use in Text command to set the character name). Can be a variable.
WindowActive            , Toggle visibility of ADV window. Level 1 will hide the background but leave the text. 0 is the same as WindowImage command.
WindowImage             , Sets scenario.isWindowImage
Scene                   , Load the specified scene.
Regulate                , Disable certain features like the skip button.\nType: Set,\tAdd, Sub\nRegulate: Next, ClickNext, Skip, Auto, AutoForce
Replace                 , Replace Src text with Dst text in Text commands (and more?). Adds a key to scenario.Replaces.
Reset                   , SetPositionAndRotation to Pos and Ang. Pos and Ang should be Vector3s in format 0,0,0\nType: 0 - BasePosition, 1 - Character
Vector                  , Set or modify a Vector3 inside commandController.V3Dic under key Variable.\nType: =, +=, -=
NullLoad                , Populate controller.NullDic from a bundle \"map/advpos/\" + Version(2 digits) + Name + \".unity3d\"
NullRelease             , 
NullSet                 , 
BGLoad                  , Load a Sprite asset and set it as a background
BGRelease               , Remove the background image
BGVisible               , Control visibility of the background image
InfoAudioEco            , Set echo effect
InfoAnimePlay           , Play an animation, no idea how to use this
Fade                    , Fade the screen in or out of a color. (only affects the ADV scene)\nFade: in. out\nTime: time in seconds\nColor: color in almost any format, R,G,B or TryParseHtmlString\nType: front, (empty)
SceneFade               , Fade the screen in or out of a color. (global effect)\nFade: in. out\nTime: time in seconds\nColor: color in almost any format, R,G,B or TryParseHtmlString\nCan optionally specify Texture2D to use as the fade screen
SceneFadeRegulate       , Sets TextScenario.isSceneFadeRegulate to true or false. If true, the input is disabled while Scene.Fade is running. ADV.Fade is not affected by this.
FadeWait                , Wait for fade to finish?\nType can be Scene for global fade and Filter for ADV fade
FilterImageLoad         , Load Sprite to use as a filter
FilterImageRelease      , 
FadeSet                 , 
FilterSet               , 
Filter                  , 
ImageLoad               , 
ImageRelease            , 
EjaculationEffect       , [insert male lenny face here]
